n	maximo	media
5	9	2.12521
6	16	6.27104
7	12	2.94763
8	25	29.8787
9	21	26.7751
10	44	10.3342
11	51	12.8051
12	30	19.1285
13	34	27.4532
14	35	10.6658
15	38	9.46076
16	76	18.447
17	52	13.4837
18	51	61.0644
19	59	13.5018
20	64	85.2167
21	78	34.983
22	35	13.7534
23	94	134.954
24	97	24.529
25	69	118.015
26	78	21.0349
27	102	198.717
28	64	55.556
29	62	15.7692
30	67	78.5135
31	101	50.5217
32	95	50.8521
33	108	9.30995
34	88	24.1569
35	87	26.816
36	86	82.8173
37	120	202.678
38	98	78.551
39	106	79.6403
40	167	113.103
41	108	39.6714
42	116	63.1862
43	131	233.042
44	125	33.1814
45	105	58.4848
46	167	40.1751
47	174	123.763
48	141	302.49
49	138	345.015
50	161	401.02
51	166	106.574
52	214	69.8701
53	162	197.014
54	119	54.2953
55	148	384.397
56	146	77.1646
57	168	84.5252
58	150	82.3557
59	178	330.306
60	21929	53.7699
